report_date,primal_desc,choice_600_900,select_600_900,week_of_year,year,indexby_year,start_of_week,end_of_week
2013-04-23,Loin,269.41,246.17,172,2013,78,2013-04-21,2013-04-26
2013-04-23,Trim,98.71,98.71,172,2013,78,2013-04-21,2013-04-26
2013-04-23,Cutout,191.41,183.78,172,2013,78,2013-04-21,2013-04-26
2013-04-23,Rib,277.0,260.07,172,2013,78,2013-04-21,2013-04-26
2013-04-24,Trim,98.74,98.74,173,2013,79,2013-04-21,2013-04-26
2013-04-24,Flank,108.06,106.78,173,2013,79,2013-04-21,2013-04-26
2013-04-24,Cutout,191.54,184.81,173,2013,79,2013-04-21,2013-04-26
2013-04-24,Brisket,132.88,131.12,173,2013,79,2013-04-21,2013-04-26
2013-04-24,Rib,279.05,260.26,173,2013,79,2013-04-21,2013-04-26
2013-04-24,Plate,137.03,139.81,173,2013,79,2013-04-21,2013-04-26
2013-04-24,Loin,270.93,247.96,173,2013,79,2013-04-21,2013-04-26
2013-04-24,Chuck,158.94,159.76,173,2013,79,2013-04-21,2013-04-26
2013-04-24,Round,158.4,158.19,173,2013,79,2013-04-21,2013-04-26
2013-04-25,Rib,278.17,259.06,174,2013,80,2013-04-21,2013-04-26
2013-04-25,Loin,270.78,247.59,174,2013,80,2013-04-21,2013-04-26
2013-04-25,Plate,139.4,142.17,174,2013,80,2013-04-21,2013-04-26
2013-04-25,Trim,98.705,98.705,174,2013,80,2013-04-21,2013-04-26
2013-04-25,Flank,109.6,107.09,174,2013,80,2013-04-21,2013-04-26
2013-04-25,Chuck,158.52,158.55,174,2013,80,2013-04-21,2013-04-26
2013-04-25,Cutout,191.54,184.5,174,2013,80,2013-04-21,2013-04-26
2013-04-25,Brisket,131.15,130.98,174,2013,80,2013-04-21,2013-04-26
2013-04-25,Round,158.92,158.59,174,2013,80,2013-04-21,2013-04-26
2013-04-26,Rib,281.6,256.84,175,2013,81,2013-04-21,2013-04-26
2013-04-26,Plate,140.32,143.09,175,2013,81,2013-04-21,2013-04-26
