report_date,published_date,description,commodity,type,class,volume,unit,year,indexby_year
2012-10-13,,,,,Steer,880.0,,2012,41
2012-10-20,,,,,Steer,879.0,,2012,42
2012-10-27,,,,,Steer,876.0,,2012,43
2012-11-03,,,,,Steer,873.0,,2012,44
2012-11-10,,,,,Steer,876.0,,2012,45
2012-11-17,,,,,Steer,872.0,,2012,46
2012-11-24,,,,,Steer,874.0,,2012,47
2012-12-01,,,,,Steer,876.0,,2012,48
2012-12-08,,,,,Steer,878.0,,2012,49
2012-12-15,,,,,Steer,880.0,,2012,50
2012-12-22,,,,,Steer,873.0,,2012,51
2012-12-29,,,,,Steer,873.0,,2012,52
2013-01-05,,,,,Steer,876.0,,2013,1
2013-01-12,,,,,Steer,872.0,,2013,2
2013-01-19,,,,,Steer,871.0,,2013,3
2013-01-26,,,,,Steer,873.0,,2013,4
2013-02-02,,,,,Steer,872.0,,2013,5
2013-02-09,,,,,Steer,868.0,,2013,6
2013-02-16,,,,,Steer,870.0,,2013,7
2013-02-23,,,,,Steer,867.0,,2013,8
2013-03-02,,,,,Steer,858.0,,2013,9
2013-03-09,,,,,Steer,860.0,,2013,10
2013-03-16,,,,,Steer,856.0,,2013,11
2013-03-23,,,,,Steer,858.0,,2013,12
2013-03-30,,,,,Steer,851.0,,2013,13
2013-04-06,,,,,Steer,847.0,,2013,14
2013-04-13,,,,,Steer,851.0,,2013,15
2013-04-20,,,,,Steer,844.0,,2013,16
2013-04-27,,,,,Steer,840.0,,2013,17
2013-05-04,,,,,Steer,839.0,,2013,18
2013-05-11,,,,,Steer,842.0,,2013,19
2013-05-18,,,,,Steer,843.0,,2013,20
2013-05-25,,,,,Steer,846.0,,2013,21
2013-06-01,,,,,Steer,850.0,,2013,22
2013-06-08,,,,,Steer,853.0,,2013,23
2013-06-15,,,,,Steer,853.0,,2013,24
2013-06-22,,,,,Steer,854.0,,2013,25
2013-06-29,,,,,Steer,855.0,,2013,26
2013-07-06,,,,,Steer,860.0,,2013,27
2013-07-13,,,,,Steer,862.0,,2013,28
2013-07-20,,,,,Steer,866.0,,2013,29
2013-07-27,,,,,Steer,862.0,,2013,30
2013-08-03,,,,,Steer,866.0,,2013,31
2013-08-10,,,,,Steer,867.0,,2013,32
2013-08-17,,,,,Steer,864.0,,2013,33
2013-08-24,,,,,Steer,866.0,,2013,34
2013-08-31,,,,,Steer,867.0,,2013,35
2013-09-07,,,,,Steer,872.0,,2013,36
2013-09-14,,,,,Steer,867.0,,2013,37
2013-09-21,,,,,Steer,868.0,,2013,38
2013-09-28,,,,,Steer,867.0,,2013,39
2013-10-05,,,,,Steer,875.0,,2013,40
2013-10-12,,,,,Steer,870.0,,2013,41
2013-10-19,,,,,Steer,875.0,,2013,42
2013-10-26,,,,,Steer,876.0,,2013,43
2013-11-02,,,,,Steer,877.0,,2013,44
2013-11-09,,,,,Steer,877.0,,2013,45
2013-11-16,,,,,Steer,878.0,,2013,46
2013-11-23,,,,,Steer,879.0,,2013,47
2013-11-30,,,,,Steer,875.0,,2013,48
2013-12-07,,,,,Steer,877.0,,2013,49
2013-12-14,,,,,Steer,872.0,,2013,50
2013-12-21,,,,,Steer,871.0,,2013,51
2013-12-28,,,,,Steer,872.0,,2013,52
2014-01-04,,,,,Steer,876.0,,2014,1
2014-01-11,,,,,Steer,871.0,,2014,2
2014-01-18,,,,,Steer,870.0,,2014,3
2014-01-25,,,,,Steer,873.0,,2014,4
2014-02-01,,,,,Steer,874.0,,2014,5
2014-02-08,,,,,Steer,871.0,,2014,6
2014-02-15,,,,,Steer,862.0,,2014,7
2014-02-22,,,,,Steer,866.0,,2014,8
2014-03-01,,,,,Steer,863.0,,2014,9
2014-03-08,,,,,Steer,858.0,,2014,10
2014-03-15,,,,,Steer,856.0,,2014,11
2014-03-22,,,,,Steer,856.0,,2014,12
2014-03-29,,,,,Steer,852.0,,2014,13
2014-04-05,,,,,Steer,851.0,,2014,14
2014-04-12,,,,,Steer,850.0,,2014,15
2014-04-19,,,,,Steer,844.0,,2014,16
2014-04-26,,,,,Steer,841.0,,2014,17
2014-05-03,,,,,Steer,840.0,,2014,18
2014-05-10,,,,,Steer,839.0,,2014,19
2014-05-17,,,,,Steer,840.0,,2014,20
2014-05-24,,,,,Steer,843.0,,2014,21
2014-05-31,,,,,Steer,844.0,,2014,22
2014-06-07,,,,,Steer,850.0,,2014,23
2014-06-14,,,,,Steer,852.0,,2014,24
2014-06-21,,,,,Steer,856.0,,2014,25
2014-06-28,,,,,Steer,857.0,,2014,26
2014-07-05,,,,,Steer,861.0,,2014,27
2014-07-12,,,,,Steer,865.0,,2014,28
2014-07-19,,,,,Steer,869.0,,2014,29
2014-07-26,,,,,Steer,870.0,,2014,30
2014-08-02,,,,,Steer,874.0,,2014,31
2014-08-09,,,,,Steer,875.0,,2014,32
2014-08-16,,,,,Steer,879.0,,2014,33
2014-08-23,,,,,Steer,880.0,,2014,34
2014-08-30,,,,,Steer,877.0,,2014,35
2014-09-06,,,,,Steer,889.0,,2014,36
2014-09-13,,,,,Steer,889.0,,2014,37
2014-09-20,,,,,Steer,887.0,,2014,38
2014-09-27,,,,,Steer,893.0,,2014,39
2014-10-04,,,,,Steer,896.0,,2014,40
2014-10-11,,,,,Steer,899.0,,2014,41
2014-10-18,,,,,Steer,898.0,,2014,42
2014-10-25,,,,,Steer,902.0,,2014,43
2014-11-01,,,,,Steer,902.0,,2014,44
2014-11-08,,,,,Steer,903.0,,2014,45
2014-11-15,,,,,Steer,906.0,,2014,46
2014-11-22,,,,,Steer,901.0,,2014,47
2014-11-29,,,,,Steer,901.0,,2014,48
2014-12-06,,,,,Steer,901.0,,2014,49
2014-12-13,,,,,Steer,899.0,,2014,50
2014-12-20,,,,,Steer,892.0,,2014,51
2014-12-27,,,,,Steer,897.0,,2014,52
2015-01-03,,,,,Steer,897.0,,2015,1
2015-01-10,,,,,Steer,889.0,,2015,2
2015-01-17,,,,,Steer,882.0,,2015,3
2015-01-24,,,,,Steer,880.0,,2015,4
2015-01-31,,,,,Steer,881.0,,2015,5
2015-02-07,,,,,Steer,884.0,,2015,6
2015-02-14,,,,,Steer,881.0,,2015,7
2015-02-21,,,,,Steer,880.0,,2015,8
2015-02-28,,,,,Steer,875.0,,2015,9
2015-03-07,,,,,Steer,876.0,,2015,10
2015-03-14,,,,,Steer,871.0,,2015,11
2015-03-21,,,,,Steer,871.0,,2015,12
2015-03-28,,,,,Steer,874.0,,2015,13
2015-04-04,,,,,Steer,869.0,,2015,14
2015-04-11,,,,,Steer,871.0,,2015,15
2015-04-18,,,,,Steer,872.0,,2015,16
2015-04-25,,,,,Steer,866.0,,2015,17
2015-05-02,,,,,Steer,865.0,,2015,18
2015-05-09,,,,,Steer,870.0,,2015,19
2015-05-16,,,,,Steer,867.0,,2015,20
2015-05-23,,,,,Steer,864.0,,2015,21
2015-05-30,,,,,Steer,864.0,,2015,22
2015-06-06,,,,,Steer,866.0,,2015,23
2015-06-13,,,,,Steer,869.0,,2015,24
2015-06-20,,,,,Steer,872.0,,2015,25
2015-06-27,,,,,Steer,872.0,,2015,26
2015-07-04,,,,,Steer,875.0,,2015,27
2015-07-11,,,,,Steer,885.0,,2015,28
2015-07-18,,,,,Steer,884.0,,2015,29
2015-07-25,,,,,Steer,884.0,,2015,30
2015-08-01,,,,,Steer,886.0,,2015,31
2015-08-08,,,,,Steer,895.0,,2015,32
2015-08-15,,,,,Steer,900.0,,2015,33
2015-08-22,,,,,Steer,905.0,,2015,34
2015-08-29,,,,,Steer,906.0,,2015,35
2015-09-05,,,,,Steer,916.0,,2015,36
2015-09-12,,,,,Steer,919.0,,2015,37
2015-09-19,,,,,Steer,923.0,,2015,38
2015-09-26,,,,,Steer,920.0,,2015,39
2015-10-03,,,,,Steer,924.0,,2015,40
2015-10-10,,,,,Steer,928.0,,2015,41
2015-10-17,,,,,Steer,930.0,,2015,42
2015-10-24,,,,,Steer,927.0,,2015,43
2015-10-31,,,,,Steer,920.0,,2015,44
2015-11-07,,,,,Steer,921.0,,2015,45
2015-11-14,,,,,Steer,925.0,,2015,46
2015-11-21,,,,,Steer,925.0,,2015,47
2015-11-28,,,,,Steer,923.0,,2015,48
2015-12-05,,,,,Steer,913.0,,2015,49
2015-12-12,,,,,Steer,909.0,,2015,50
2015-12-19,,,,,Steer,907.0,,2015,51
2015-12-26,,,,,Steer,906.0,,2015,52
2016-01-02,,,,,Steer,904.0,,2016,1
2016-01-09,,,,,Steer,902.0,,2016,2
2016-01-16,,,,,Steer,898.0,,2016,3
2016-01-23,,,,,Steer,899.0,,2016,4
2016-01-30,,,,,Steer,898.0,,2016,5
2016-02-06,,,,,Steer,899.0,,2016,6
2016-02-13,,,,,Steer,891.0,,2016,7
2016-02-20,,,,,Steer,886.0,,2016,8
2016-02-27,,,,,Steer,887.0,,2016,9
2016-03-05,,,,,Steer,888.0,,2016,10
2016-03-12,,,,,Steer,896.0,,2016,11
2016-03-19,,,,,Steer,895.0,,2016,12
2016-03-26,,,,,Steer,887.0,,2016,13
2016-04-02,,,,,Steer,884.0,,2016,14
2016-04-09,,,,,Steer,880.0,,2016,15
2016-04-16,,,,,Steer,878.0,,2016,16
2016-04-23,,,,,Steer,870.0,,2016,17
2016-04-30,,,,,Steer,868.0,,2016,18
2016-05-07,,,,,Steer,862.0,,2016,19
2016-05-14,,,,,Steer,863.0,,2016,20
2016-05-21,,,,,Steer,862.0,,2016,21
2016-05-28,,,,,Steer,859.0,,2016,22
2016-06-04,,,,,Steer,864.0,,2016,23
2016-06-11,,,,,Steer,864.0,,2016,24
2016-06-18,,,,,Steer,867.0,,2016,25
2016-06-25,,,,,Steer,864.0,,2016,26
2016-07-02,,,,,Steer,868.0,,2016,27
2016-07-09,,,,,Steer,875.0,,2016,28
2016-07-16,,,,,Steer,880.0,,2016,29
2016-07-23,,,,,Steer,880.0,,2016,30
2016-07-30,,,,,Steer,883.0,,2016,31
2016-08-06,,,,,Steer,886.0,,2016,32
2016-08-13,,,,,Steer,887.0,,2016,33
2016-08-20,,,,,Steer,893.0,,2016,34
2016-08-27,,,,,Steer,896.0,,2016,35
2016-09-03,,,,,Steer,898.0,,2016,36
