date,lbs,year,indexby_year
2015-06-13,439.5,2015,24
2015-06-20,444.4,2015,25
2015-06-27,449.9,2015,26
2015-07-04,422.9,2015,27
2015-07-11,449.0,2015,28
2015-07-18,439.5,2015,29
2015-07-25,441.9,2015,30
2015-08-01,448.7,2015,31
2015-08-08,440.1,2015,32
2015-08-15,444.4,2015,33
2015-08-22,446.0,2015,34
2015-08-29,452.4,2015,35
2015-09-05,463.9,2015,36
2015-09-12,418.9,2015,37
2015-09-19,482.8,2015,38
2015-09-26,482.9,2015,39
2015-10-03,483.0,2015,40
2015-10-10,471.9,2015,41
2015-10-17,488.4,2015,42
2015-10-24,471.4,2015,43
2015-10-31,470.1,2015,44
2015-11-07,478.9,2015,45
2015-11-14,471.9,2015,46
2015-11-21,482.9,2015,47
2015-11-28,387.4,2015,48
2015-12-05,473.2,2015,49
2015-12-12,492.1,2015,50
2015-12-19,499.2,2015,51
2015-12-26,339.1,2015,52
2016-01-02,368.9,2016,1
2016-01-09,460.0,2016,2
2016-01-16,474.7,2016,3
2016-01-23,474.0,2016,4
2016-01-30,471.9,2016,5
2016-02-06,443.8,2016,6
2016-02-13,452.0,2016,7
2016-02-20,432.8,2016,8
2016-02-27,442.5,2016,9
2016-03-05,440.1,2016,10
2016-03-12,441.8,2016,11
2016-03-19,449.5,2016,12
2016-03-26,447.4,2016,13
2016-04-02,450.7,2016,14
2016-04-09,444.6,2016,15
2016-04-16,454.7,2016,16
2016-04-23,484.5,2016,17
2016-04-30,485.8,2016,18
2016-05-07,483.0,2016,19
2016-05-14,490.5,2016,20
2016-05-21,477.2,2016,21
2016-05-28,475.6,2016,22
2016-06-04,421.6,2016,23
2016-06-11,477.9,2016,24
2016-06-18,487.6,2016,25
2016-06-25,491.8,2016,26
2016-07-02,485.5,2016,27
2016-07-09,417.0,2016,28
2016-07-16,482.9,2016,29
2016-07-23,484.6,2016,30
2016-07-30,474.1,2016,31
2016-08-06,474.0,2016,32
2016-08-13,476.6,2016,33
2016-08-20,492.1,2016,34
2016-08-27,494.0,2016,35
2016-09-03,502.9,2016,36
2016-09-10,436.6,2016,37
2016-09-17,500.3,2016,38
2016-09-24,492.0,2016,39
2016-10-01,509.1,2016,40
2016-10-08,505.1,2016,41
2016-10-15,502.8,2016,42
2016-10-22,504.5,2016,43
2016-10-29,515.6,2016,44
2016-11-05,509.3,2016,45
2016-11-12,512.8,2016,46
2016-11-19,527.5,2016,47
2016-11-26,462.5,2016,48
