date,lbs,year,indexby_year
2015-01-17,489.1,2015,3
2015-01-24,499.2,2015,4
2015-01-31,488.0,2015,5
2015-02-07,485.6,2015,6
2015-02-14,479.1,2015,7
2015-02-21,491.9,2015,8
2015-02-28,486.3,2015,9
2015-03-07,476.9,2015,10
2015-03-14,477.6,2015,11
2015-03-21,479.4,2015,12
2015-03-28,485.9,2015,13
2015-04-04,470.4,2015,14
2015-04-11,464.5,2015,15
2015-04-18,479.4,2015,16
2015-04-25,467.4,2015,17
2015-05-02,462.0,2015,18
2015-05-09,451.7,2015,19
2015-05-16,454.4,2015,20
2015-05-23,456.6,2015,21
2015-05-30,395.4,2015,22
2015-06-06,451.2,2015,23
2015-06-13,453.7,2015,24
2015-06-20,455.6,2015,25
2015-06-27,457.3,2015,26
2015-07-04,394.7,2015,27
2015-07-11,440.2,2015,28
2015-07-18,440.9,2015,29
2015-07-25,444.2,2015,30
2015-08-01,448.7,2015,31
2015-08-08,447.1,2015,32
2015-08-15,464.9,2015,33
2015-08-22,466.0,2015,34
2015-08-29,462.8,2015,35
2015-09-05,453.8,2015,36
2015-09-12,425.8,2015,37
2015-09-19,475.0,2015,38
2015-09-26,475.3,2015,39
2015-10-03,474.9,2015,40
2015-10-10,480.4,2015,41
2015-10-17,486.7,2015,42
2015-10-24,486.4,2015,43
2015-10-31,475.4,2015,44
2015-11-07,499.4,2015,45
2015-11-14,506.9,2015,46
2015-11-21,507.7,2015,47
2015-11-28,454.0,2015,48
2015-12-05,517.4,2015,49
2015-12-12,517.4,2015,50
2015-12-19,532.1,2015,51
2015-12-26,363.1,2015,52
2016-01-02,432.6,2016,1
2016-01-09,504.0,2016,2
2016-01-16,489.9,2016,3
2016-01-23,497.9,2016,4
2016-01-30,499.3,2016,5
2016-02-06,466.2,2016,6
2016-02-13,487.1,2016,7
2016-02-20,488.3,2016,8
2016-02-27,470.1,2016,9
2016-03-05,471.6,2016,10
2016-03-12,476.1,2016,11
2016-03-19,465.0,2016,12
2016-03-26,463.0,2016,13
2016-04-01,463.9,2016,14
2016-04-08,458.3,2016,15
2016-04-15,468.2,2016,16
2016-04-22,478.4,2016,17
2016-04-29,457.0,2016,18
2016-05-06,472.9,2016,19
2016-05-13,461.2,2016,20
2016-05-20,451.5,2016,21
2016-05-27,465.0,2016,22
2016-06-03,404.2,2016,23
2016-06-10,442.9,2016,24
2016-06-17,458.7,2016,25
2016-06-24,446.3,2016,26
2016-07-01,448.0,2016,27
2016-07-08,384.4,2016,28
2016-07-15,444.1,2016,29
2016-07-22,447.4,2016,30
2016-07-29,456.5,2016,31
2016-08-05,458.2,2016,32
2016-08-12,465.7,2016,33
2016-08-19,476.0,2016,34
2016-08-26,469.7,2016,35
2016-09-02,466.3,2016,36
2016-09-09,431.2,2016,37
2016-09-16,488.7,2016,38
2016-09-23,512.6,2016,39
2016-09-30,508.1,2016,40
2016-10-07,507.9,2016,41
2016-10-14,482.9,2016,42
2016-10-21,527.4,2016,43
2016-10-28,504.4,2016,44
2016-11-04,532.9,2016,45
2016-11-11,517.0,2016,46
2016-11-18,534.3,2016,47
2016-11-25,454.9,2016,48
2016-12-02,535.9,2016,49
2016-12-09,516.3,2016,50
2016-12-16,537.9,2016,51
2016-12-23,455.8,2016,52
2017-01-07,440.1,2017,1
2017-01-14,506.4,2017,2
2017-01-21,491.9,2017,3
2017-01-28,503.7,2017,4
2017-02-04,496.0,2017,5
2017-02-11,503.6,2017,6
2017-02-18,502.6,2017,7
2017-02-25,481.9,2017,8
2017-03-04,490.5,2017,9
2017-03-11,491.1,2017,10
2017-03-18,495.8,2017,11
2017-03-25,491.2,2017,12
2017-04-01,497.5,2017,13
2017-04-08,489.7,2017,14
2017-04-15,472.4,2017,15
2017-04-22,486.5,2017,16
2017-04-29,487.4,2017,17
2017-05-06,481.9,2017,18
2017-05-13,480.8,2017,19
2017-05-20,478.2,2017,20
2017-05-27,464.2,2017,21
2017-06-03,416.2,2017,22
2017-06-10,461.2,2017,23
2017-06-17,458.1,2017,24
2017-06-24,450.0,2017,25
