report_date,published_date,group,category,description,commodity,class,volume,unit,year,indexby_year
2006-07-01,,,,,,,66400.0,,2006,26
2006-07-08,,,,,,,48600.0,,2006,27
2006-07-15,,,,,,,63500.0,,2006,28
2006-07-22,,,,,,,64400.0,,2006,29
2006-07-29,,,,,,,62100.0,,2006,30
2006-08-05,,,,,,,57600.0,,2006,31
2006-08-12,,,,,,,60700.0,,2006,32
2006-08-19,,,,,,,60400.0,,2006,33
2006-08-26,,,,,,,63000.0,,2006,34
2006-09-02,,,,,,,63700.0,,2006,35
2006-09-09,,,,,,,58200.0,,2006,36
2006-09-16,,,,,,,67700.0,,2006,37
2006-09-23,,,,,,,66200.0,,2006,38
2006-09-30,,,,,,,64600.0,,2006,39
2006-10-07,,,,,,,62000.0,,2006,40
2006-10-14,,,,,,,64200.0,,2006,41
2006-10-21,,,,,,,64300.0,,2006,42
2006-10-28,,,,,,,66300.0,,2006,43
2006-11-04,,,,,,,65400.0,,2006,44
2006-11-11,,,,,,,66800.0,,2006,45
2006-11-18,,,,,,,70400.0,,2006,46
2006-11-25,,,,,,,49800.0,,2006,47
2006-12-02,,,,,,,67200.0,,2006,48
2006-12-09,,,,,,,69200.0,,2006,49
2006-12-16,,,,,,,70600.0,,2006,50
2006-12-23,,,,,,,68100.0,,2006,51
2006-12-30,,,,,,,46200.0,,2006,52
2007-01-06,,,,,,,52400.0,,2007,1
2007-01-13,,,,,,,66200.0,,2007,2
2007-01-20,,,,,,,63100.0,,2007,3
2007-01-27,,,,,,,63900.0,,2007,4
2007-02-03,,,,,,,64200.0,,2007,5
2007-02-10,,,,,,,59400.0,,2007,6
2007-02-17,,,,,,,61400.0,,2007,7
2007-02-24,,,,,,,63100.0,,2007,8
2007-03-03,,,,,,,62300.0,,2007,9
2007-03-10,,,,,,,65700.0,,2007,10
2007-03-17,,,,,,,65500.0,,2007,11
2007-03-24,,,,,,,66000.0,,2007,12
2007-03-31,,,,,,,64500.0,,2007,13
2007-04-07,,,,,,,62000.0,,2007,14
2007-04-14,,,,,,,60100.0,,2007,15
2007-04-21,,,,,,,63000.0,,2007,16
2007-04-28,,,,,,,62900.0,,2007,17
2007-05-05,,,,,,,62700.0,,2007,18
2007-05-12,,,,,,,62700.0,,2007,19
2007-05-19,,,,,,,64000.0,,2007,20
2007-05-26,,,,,,,64400.0,,2007,21
2007-06-02,,,,,,,56200.0,,2007,22
2007-06-09,,,,,,,64900.0,,2007,23
2007-06-16,,,,,,,62000.0,,2007,24
2007-06-23,,,,,,,61800.0,,2007,25
2007-06-30,,,,,,,63500.0,,2007,26
2007-07-07,,,,,,,53600.0,,2007,27
2007-07-14,,,,,,,63400.0,,2007,28
2007-07-21,,,,,,,64500.0,,2007,29
2007-07-28,,,,,,,62700.0,,2007,30
2007-08-04,,,,,,,54300.0,,2007,31
2007-08-11,,,,,,,63500.0,,2007,32
2007-08-18,,,,,,,64300.0,,2007,33
2007-08-25,,,,,,,65700.0,,2007,34
2007-09-01,,,,,,,67700.0,,2007,35
2007-09-08,,,,,,,55400.0,,2007,36
2007-09-15,,,,,,,66100.0,,2007,37
2007-09-22,,,,,,,67700.0,,2007,38
2007-09-29,,,,,,,67500.0,,2007,39
2007-10-06,,,,,,,68400.0,,2007,40
2007-10-13,,,,,,,66800.0,,2007,41
2007-10-20,,,,,,,67100.0,,2007,42
2007-10-27,,,,,,,67500.0,,2007,43
2007-11-03,,,,,,,68600.0,,2007,44
2007-11-10,,,,,,,68200.0,,2007,45
2007-11-17,,,,,,,73200.0,,2007,46
2007-11-24,,,,,,,49100.0,,2007,47
2007-12-01,,,,,,,74000.0,,2007,48
2007-12-08,,,,,,,74200.0,,2007,49
2007-12-15,,,,,,,69900.0,,2007,50
2007-12-22,,,,,,,74500.0,,2007,51
2007-12-29,,,,,,,38700.0,,2007,52
2008-01-05,,,,,,,48300.0,,2008,1
2008-01-12,,,,,,,68700.0,,2008,2
2008-01-19,,,,,,,70500.0,,2008,3
2008-01-26,,,,,,,67700.0,,2008,4
2008-02-02,,,,,,,65000.0,,2008,5
2008-02-09,,,,,,,62800.0,,2008,6
2008-02-16,,,,,,,64300.0,,2008,7
2008-02-23,,,,,,,63000.0,,2008,8
2008-03-01,,,,,,,68700.0,,2008,9
2008-03-08,,,,,,,69300.0,,2008,10
2008-03-15,,,,,,,73000.0,,2008,11
2008-03-22,,,,,,,70100.0,,2008,12
2008-03-29,,,,,,,71700.0,,2008,13
2008-04-05,,,,,,,72200.0,,2008,14
2008-04-12,,,,,,,71900.0,,2008,15
2008-04-19,,,,,,,73100.0,,2008,16
2008-04-26,,,,,,,71100.0,,2008,17
2008-05-03,,,,,,,63400.0,,2008,18
2008-05-10,,,,,,,69300.0,,2008,19
2008-05-17,,,,,,,71400.0,,2008,20
2008-05-24,,,,,,,68100.0,,2008,21
2008-05-31,,,,,,,59300.0,,2008,22
2008-06-07,,,,,,,70100.0,,2008,23
2008-06-14,,,,,,,69300.0,,2008,24
2008-06-21,,,,,,,72500.0,,2008,25
2008-06-28,,,,,,,78400.0,,2008,26
2008-07-05,,,,,,,59800.0,,2008,27
2008-07-12,,,,,,,69700.0,,2008,28
2008-07-19,,,,,,,72400.0,,2008,29
2008-07-26,,,,,,,62200.0,,2008,30
2008-08-02,,,,,,,67600.0,,2008,31
2008-08-09,,,,,,,68400.0,,2008,32
2008-08-16,,,,,,,67000.0,,2008,33
2008-08-23,,,,,,,67700.0,,2008,34
2008-08-30,,,,,,,71400.0,,2008,35
2008-09-06,,,,,,,60800.0,,2008,36
2008-09-13,,,,,,,72900.0,,2008,37
2008-09-20,,,,,,,70700.0,,2008,38
2008-09-27,,,,,,,67300.0,,2008,39
2008-10-04,,,,,,,69900.0,,2008,40
2008-10-11,,,,,,,68100.0,,2008,41
2008-10-18,,,,,,,67900.0,,2008,42
2008-10-25,,,,,,,64100.0,,2008,43
