report_date,for_date_begin,purchase_type,head_count,avg_net_price,avg_carcass_weight,total_lbs,lbs_day1,usd_day1,lbs_day2,usd_day2,weekof_year,year,indexby_year,amount
2008-04-23,2008-04-22,Prod. Sold Swine or Pork Market Formula,140116,66.74,200.22,66.74,28054025.52,1872325663.2048,23174991.84,1518888965.1936002,173,2008,81,66.19714378996241
2008-04-24,2008-04-23,Prod. Sold Swine or Pork Market Formula,141680,68.35,199.8,68.35,28307664.0,1934828834.4,28054025.52,1872325663.2048,174,2008,82,67.54862265535577
2008-04-24,2008-04-23,Prod. Sold Negotiated,37387,68.27,196.72,68.27,7354770.64,502110191.5928,6438174.42,429361852.0698,174,2008,82,67.5324986513504
2008-04-25,2008-04-24,Prod. Sold Swine or Pork Market Formula,142708,69.31,200.07,69.31,28551589.56,1978910672.4036,28307664.0,1934828834.4,175,2008,83,68.83205919461598
2008-04-25,2008-04-24,Prod. Sold Negotiated,35891,68.8,197.49,68.8,7088113.590000001,487662214.992,7354770.64,502110191.5928,175,2008,83,68.53010734025665
2008-04-28,2008-04-25,Prod. Sold Swine or Pork Market Formula,178071,70.77,200.71,70.77,35740630.410000004,2529364414.1157,28551589.56,1978910672.4036,181,2008,84,70.12162729211947
2008-04-28,2008-04-25,Prod. Sold Negotiated,69888,71.01,199.39,71.01,13934968.319999998,989522100.4032,7088113.590000001,487662214.992,181,2008,84,70.26487941772949
2008-04-29,2008-04-28,Prod. Sold Negotiated,30910,72.19,194.58,72.19,6014467.800000001,434184430.48200005,13934968.319999998,989522100.4032,182,2008,85,71.36575301283254
2008-04-29,2008-04-28,Prod. Sold Swine or Pork Market Formula,132401,72.02,199.0,72.02,26347799.0,1897568483.98,35740630.410000004,2529364414.1157,182,2008,85,71.30044905569306
2008-04-30,2008-04-29,Prod. Sold Negotiated,40337,72.89,195.76,72.89000000000001,7896371.119999998,575566490.9368,6014467.800000001,434184430.48200005,183,2008,86,72.58734913298817
2008-04-30,2008-04-29,Prod. Sold Swine or Pork Market Formula,134221,73.06,199.47,73.06,26773062.87,1956039973.2822,26347799.0,1897568483.98,183,2008,86,72.544162907088
2008-05-01,2008-04-30,Prod. Sold Negotiated,37309,73.95,195.49,73.95,7293536.41,539357017.5195,7896371.119999998,575566490.9368,184,2008,87,73.39896613947985
2008-05-01,2008-04-30,Prod. Sold Swine or Pork Market Formula,143054,73.41,199.5,73.41,28539273.0,2095068030.93,26773062.87,1956039973.2822,184,2008,87,73.2405880260323
2008-05-02,2008-05-01,Prod. Sold Swine or Pork Market Formula,137496,73.68,200.16,73.68,27521199.36,2027761968.8448,28539273.0,2095068030.93,185,2008,88,73.54254836276588
2008-05-02,2008-05-01,Prod. Sold Negotiated,36102,73.81,194.93,73.81,7037362.86,519427752.6966,7293536.41,539357017.5195,185,2008,88,73.88125129262036
2008-05-05,2008-05-02,Prod. Sold Negotiated,52926,74.44,198.32,74.44,10496284.32,781343404.7808,7037362.86,519427752.6966,191,2008,89,74.18714110782057
2008-05-05,2008-05-02,Prod. Sold Swine or Pork Market Formula,162533,74.24,200.71,74.24,32621998.43,2421857163.4432,27521199.36,2027761968.8448,191,2008,89,73.98374705356684
2008-05-06,2008-05-05,Prod. Sold Negotiated,37232,75.05,195.64,75.05,7284068.479999999,546669339.4239999,10496284.32,781343404.7808,192,2008,90,74.6898984031858
2008-05-06,2008-05-05,Prod. Sold Swine or Pork Market Formula,130361,75.09,198.8,75.09,25915766.8,1946014929.012,32621998.43,2421857163.4432,192,2008,90,74.6163109454802
2008-05-07,2008-05-06,Prod. Sold Swine or Pork Market Formula,142914,75.81,199.18,75.81,28465610.52,2157977933.5212,25915766.8,1946014929.012,193,2008,91,75.46687974421462
2008-05-07,2008-05-06,Prod. Sold Negotiated,32293,74.89,195.53,74.89,6314250.29,472874204.2181,7284068.479999999,546669339.4239999,193,2008,91,74.97570551819767
2008-05-08,2008-05-07,Prod. Sold Swine or Pork Market Formula,138409,76.86,199.85,76.86,27661038.65,2126027430.639,28465610.52,2157977933.5212,194,2008,92,76.32747415910274
2008-05-08,2008-05-07,Prod. Sold Negotiated,33452,76.58,195.53,76.58,6540869.56,500899790.9048,6314250.29,472874204.2181,194,2008,92,75.74989626587573
2008-05-09,2008-05-08,Prod. Sold Negotiated,40234,77.85,195.32,77.85,7858504.88,611784604.908,6540869.56,500899790.9048,195,2008,93,77.27310658176064
2008-05-09,2008-05-08,Prod. Sold Swine or Pork Market Formula,146522,77.54,200.37,77.54,29358613.14,2276466862.8756003,27661038.65,2126027430.639,195,2008,93,77.21012239304314
2008-05-12,2008-05-09,Prod. Sold Negotiated,49528,79.31,198.43,79.31,9827841.04,779446072.8824002,7858504.88,611784604.908,201,2008,94,78.66128391264665
2008-05-12,2008-05-09,Prod. Sold Swine or Pork Market Formula,149495,78.78,199.92,78.78,29887040.4,2354501042.712,29358613.14,2276466862.8756003,201,2008,94,78.16552993986265
2008-05-13,2008-05-12,Prod. Sold Negotiated,38065,80.51,196.71,80.51,7487766.15,602840052.7365,9827841.04,779446072.8824002,202,2008,95,79.82891448456913
2008-05-13,2008-05-12,Prod. Sold Swine or Pork Market Formula,137409,80.07,199.07,80.07,27354009.63,2190235551.0740995,29887040.4,2354501042.712,202,2008,95,79.39645746198237
2008-05-14,2008-05-13,Prod. Sold Negotiated,34424,81.44,195.38,81.44,6725761.12,547745985.6128,7487766.15,602840052.7365,203,2008,96,80.950070766586
2008-05-14,2008-05-13,Prod. Sold Swine or Pork Market Formula,135818,81.61,199.23,81.61,27059020.14,2208286633.6254,27354009.63,2190235551.0740995,203,2008,96,80.83582559713619
2008-05-15,2008-05-14,Prod. Sold Swine or Pork Market Formula,136777,82.52,199.58,82.52,27297953.66,2252627136.0232,27059020.14,2208286633.6254,204,2008,97,82.0670000147911
2008-05-15,2008-05-14,Prod. Sold Negotiated,36829,82.77,194.75,82.77,7172447.75,593663500.2674999,6725761.12,547745985.6128,204,2008,97,82.12637301372634
2008-05-16,2008-05-15,Prod. Sold Swine or Pork Market Formula,139352,82.91,199.71,82.90999999999998,27829987.92,2307384298.4472,27297953.66,2252627136.0232,205,2008,98,82.71688192553043
2008-05-16,2008-05-15,Prod. Sold Negotiated,36550,82.71,195.25,82.71,7136387.5,590250610.125,7172447.75,593663500.2674999,205,2008,98,82.74007560416212
2008-05-19,2008-05-16,Prod. Sold Negotiated,36436,82.6,194.79,82.6,7097368.44,586242633.1439999,7136387.5,590250610.125,211,2008,99,82.65515077175054
2008-05-19,2008-05-16,Prod. Sold Swine or Pork Market Formula,131424,82.7,200.47,82.7,26346569.28,2178861279.4560003,27829987.92,2307384298.4472,211,2008,99,82.80787502501542
2008-05-20,2008-05-19,Prod. Sold Negotiated,29901,82.23,194.77,82.23,5823817.7700000005,478892535.2271001,7097368.44,586242633.1439999,212,2008,100,82.4332341520446
2008-05-20,2008-05-19,Prod. Sold Swine or Pork Market Formula,134147,82.78,198.23,82.78,26591959.81,2201282433.0718,26346569.28,2178861279.4560003,212,2008,100,82.74018541545011
2008-05-21,2008-05-20,Prod. Sold Negotiated,31522,81.63,197.64,81.63,6230008.079999999,508555559.57039994,5823817.7700000005,478892535.2271001,213,2008,101,81.91989058789164
2008-05-21,2008-05-20,Prod. Sold Swine or Pork Market Formula,143381,82.38,198.5,82.38,28461128.5,2344627765.83,26591959.81,2201282433.0718,213,2008,101,82.5732095773466
2008-05-22,2008-05-21,Prod. Sold Negotiated,34454,81.39,196.57,81.39,6772622.779999999,551223768.0641999,6230008.079999999,508555559.57039994,214,2008,102,81.50499226235817
2008-05-22,2008-05-21,Prod. Sold Swine or Pork Market Formula,141029,82.16,198.88,82.16,28047847.52,2304411152.2432,28461128.5,2344627765.83,214,2008,102,82.27080449002978
2008-05-23,2008-05-22,Prod. Sold Swine or Pork Market Formula,145372,81.5,199.43,81.5,28991537.96,2362810343.74,28047847.52,2304411152.2432,215,2008,103,81.82454030153761
2008-05-23,2008-05-22,Prod. Sold Negotiated,34455,80.56,197.34,80.56,6799349.7,547755611.832,6772622.779999999,551223768.0641999,215,2008,103,80.97418275167324
2008-05-27,2008-05-23,Prod. Sold Negotiated,31981,79.79,195.12,79.79,6240132.72,497900189.7288,6799349.7,547755611.832,222,2008,104,80.19151127938714
2008-05-27,2008-05-23,Prod. Sold Swine or Pork Market Formula,134880,80.98,200.74,80.98,27075811.200000003,2192599190.9760003,28991537.96,2362810343.74,222,2008,104,81.24888376149511
2008-05-28,2008-05-27,Prod. Sold Negotiated,27507,78.76,194.06,78.76,5338008.42,420421543.1592,6240132.72,497900189.7288,223,2008,105,79.31512682250822
2008-05-28,2008-05-27,Prod. Sold Swine or Pork Market Formula,137020,80.07,199.93,80.07,27394408.6,2193470296.602,27075811.200000003,2192599190.9760003,223,2008,105,80.52233869594188
2008-05-29,2008-05-28,Prod. Sold Swine or Pork Market Formula,144460,79.08,200.1,79.08,28906446.0,2285921749.68,27394408.6,2193470296.602,224,2008,106,79.56170608966208
2008-05-29,2008-05-28,Prod. Sold Negotiated,25024,77.31,192.26,77.31,4811114.24,371947241.8944,5338008.42,420421543.1592,224,2008,106,78.07263855195146
2008-05-30,2008-05-29,Prod. Sold Swine or Pork Market Formula,148415,78.19,199.8,78.19,29653317.0,2318592856.23,28906446.0,2285921749.68,225,2008,107,78.62932447165127
2008-05-30,2008-05-29,Prod. Sold Negotiated,29879,76.93,196.12,76.93,5859869.48,450799759.0964001,4811114.24,371947241.8944,225,2008,107,77.10132660485401
2008-06-02,2008-05-30,Prod. Sold Swine or Pork Market Formula,189782,77.35,200.62,77.35,38074064.84,2945028915.374,29653317.0,2318592856.23,231,2008,108,77.7177801445041
2008-06-02,2008-05-30,Prod. Sold Negotiated,38072,76.57,197.62,76.57,7523788.64,576096496.1648,5859869.48,450799759.0964001,231,2008,108,76.72762155562295
2008-06-03,2008-06-02,Prod. Sold Swine or Pork Market Formula,133673,76.18,199.28,76.18,26638355.44,2029309917.4192,38074064.84,2945028915.374,232,2008,109,76.86837876361376
2008-06-03,2008-06-02,Prod. Sold Negotiated,28206,75.19,197.09,75.19,5559120.54,417990273.4026,7523788.64,576096496.1648,232,2008,109,75.98361770232819
2008-06-04,2008-06-03,Prod. Sold Swine or Pork Market Formula,136220,75.91,199.59,75.91,27188149.8,2063852451.318,26638355.44,2029309917.4192,233,2008,110,76.04362108382723
2008-06-04,2008-06-03,Prod. Sold Negotiated,36078,74.65,196.49,74.65,7088966.220000001,529191328.3230001,5559120.54,417990273.4026,233,2008,110,74.88734222800349
2008-06-05,2008-06-04,Prod. Sold Negotiated,37037,74.6,196.48,74.6,7277029.76,542866420.096,7088966.220000001,529191328.3230001,234,2008,111,74.62467272798163
2008-06-05,2008-06-04,Prod. Sold Swine or Pork Market Formula,140162,75.55,199.7,75.55,27990351.4,2114671048.27,27188149.8,2063852451.318,234,2008,111,75.72738310601302
2008-06-06,2008-06-05,Prod. Sold Swine or Pork Market Formula,134692,75.2,199.34,75.2,26849503.28,2019082646.656,27990351.4,2114671048.27,235,2008,112,75.37864057166388
2008-06-06,2008-06-05,Prod. Sold Negotiated,35092,73.89,196.12,73.89,6882243.04,508528938.2256,7277029.76,542866420.096,235,2008,112,74.254898056742
2008-06-09,2008-06-06,Prod. Sold Negotiated,35620,74.3,196.83,74.3,7011084.600000001,520923585.78,6882243.04,508528938.2256,241,2008,113,74.09690109385485
2008-06-09,2008-06-06,Prod. Sold Swine or Pork Market Formula,135018,74.96,199.08,74.96,26879383.44,2014878582.6624,26849503.28,2019082646.656,241,2008,113,75.07993326459157
2008-06-10,2008-06-09,Prod. Sold Swine or Pork Market Formula,138740,74.91,199.44,74.91,27670305.6,2072782592.496,26879383.44,2014878582.6624,242,2008,114,74.93463752215001
